dist_id,state,schlev,agchrt,district,total_enroll_fy20,current_sped_exp_fy20,total_enroll_fy21,current_sped_exp_fy21,total_enroll_fy22,current_sped_exp_fy22,total_enroll_fy23,current_sped_exp_fy23,state_rev_v92_adjusted_fy20,federal_rev_v92_adjusted_fy20,local_rev_v92_adjusted_fy20,state_local_federal_rev_v92_adjusted_fy20,state_sped_rev_fy20,federal_sped_rev_fy20,state_fed_sped_rev_fy20,state_rev_v92_adjusted_fy21,federal_rev_v92_adjusted_fy21,local_rev_v92_adjusted_fy21,state_local_federal_rev_v92_adjusted_fy21,state_sped_rev_fy21,federal_sped_rev_fy21,state_fed_sped_rev_fy21,state_rev_v92_adjusted_fy22,federal_rev_v92_adjusted_fy22,local_rev_v92_adjusted_fy22,state_local_federal_rev_v92_adjusted_fy22,state_sped_rev_fy22,federal_sped_rev_fy22,state_fed_sped_rev_fy22,state_rev_v92_adjusted_fy23,federal_rev_v92_adjusted_fy23,local_rev_v92_adjusted_fy23,state_local_federal_rev_v92_adjusted_fy23,state_sped_rev_fy23,federal_sped_rev_fy23,state_fed_sped_rev_fy23,sped_enroll_fy20,sped_enroll_fy21,sped_enroll_fy22,sped_enroll_fy23
0632370,California,3,3,Rialto Unified,25167,40981000,24442,49500000,24083,53727000,24117,60774000,286825000,33960000,57435000,378220000,0,4777000,4777000,290067000,92958000,67559000,450584000,0,4733000,4733000,326611000,48736000,73395000,448742000,0,4792000,4792000,421845000,66727000,93278000,581850000,845000,5802000,6647000,3000,2777,2777,2709
0632430,California,1,3,Richgrove Elementary,592,622000,557,510000,531,566000,508,570000,10376000,1252000,1226000,12854000,0,107000,107000,10921000,2404000,1123000,14448000,0,102000,102000,11465000,2869000,1093000,15427000,0,104000,104000,14060000,3113000,1524000,18697000,25000,120000,145000,34,34,-8,40
0632550,California,3,3,West Contra Costa Unified,28113,71322000,27274,92194000,26178,104353000,25626,119650000,235391000,38272000,240628000,514291000,18513000,7403000,25916000,276725000,97909000,231638000,606272000,19621000,7491000,27112000,282919000,67336000,258084000,608339000,21575000,7254000,28829000,384285000,51105000,293155000,728545000,25917000,7493000,33410000,3983,3571,3570,3605
0632610,California,3,3,Rim of the World Unified,3113,5027000,2922,5884000,2903,6492000,2885,6797000,21540000,2749000,17012000,41301000,0,624000,624000,22141000,5854000,17728000,45723000,0,650000,650000,23643000,9006000,18489000,51138000,0,672000,672000,30441000,7648000,21077000,59166000,142000,824000,966000,404,382,403,388
0632640,California,1,2,Rincon Valley Union Elementary,3233,5993000,3090,6870000,3013,7860000,3066,9219000,17665000,1775000,30963000,50403000,0,690000,690000,22437000,4364000,31102000,57903000,0,654000,654000,18315000,3772000,34298000,56385000,0,655000,655000,28417000,3677000,38882000,70976000,107000,732000,839000,420,398,367,373
0632710,California,1,3,Rio Bravo-Greeley Union Elementary,1070,1140000,992,1261000,986,1257000,1010,1603000,7031000,987000,7519000,15537000,0,197000,197000,7774000,3775000,9022000,20571000,29000,199000,228000,7215000,1375000,9911000,18501000,0,192000,192000,8597000,2065000,11757000,22419000,85000,257000,342000,90,90,90,88
0632730,California,1,3,Rio Dell Elementary,282,311000,299,342000,294,336000,334,355000,3007000,373000,1083000,4463000,0,45000,45000,2949000,698000,791000,4438000,0,46000,46000,3342000,987000,905000,5234000,0,51000,51000,4871000,1067000,1038000,6976000,49000,64000,113000,51,45,44,52
0632760,California,1,3,Rio Elementary,5317,7097000,5208,9197000,4958,10502000,5167,12960000,49973000,6562000,29427000,85962000,0,1017000,1017000,49460000,19308000,34990000,103758000,0,1048000,1048000,55692000,12322000,37125000,105139000,0,1366000,1366000,75356000,10451000,35084000,120891000,438000,1222000,1660000,652,580,633,709
0632880,California,3,3,Ripon Unified,3379,3943000,3303,4529000,3350,4968000,3298,6137000,31055000,1997000,12540000,45592000,15000,437000,452000,30068000,3969000,11999000,46036000,0,448000,448000,30646000,4064000,14743000,49453000,0,494000,494000,40271000,5057000,16642000,61970000,185000,606000,791000,370,374,384,384
0633110,California,3,3,River Delta Joint Unified,1970,3137000,1870,3386000,1849,3698000,1783,4388000,12613000,1677000,13875000,28165000,0,369000,369000,12050000,2906000,15014000,29970000,0,332000,332000,14556000,2760000,17383000,34699000,0,331000,331000,17901000,4008000,19681000,41590000,179000,420000,599000,234,215,210,218
