dist_id,state,district,total_enroll,tcurelsc,current_sped_exp,state_sped_rev,federal_sped_rev,state_fed_sped_rev,state_rev_v92_adjusted,federal_rev_v92_adjusted,sped_enroll,sped_exp_pp,state_sped_rev_pp,federal_sped_rev_pp,state_fed_sped_rev_pp,sped_local_pp_obligation,state_sped_pct,federal_sped_pct,local_sped_pct,state_rev_no_sped,federal_rev_no_sped,current_exp_no_sped,state_no_sped_pct,federal_no_sped_pct,local_no_sped_pct,disproportionate,fy,cpi_multiplier,tcurelsc_adjusted,current_sped_exp_adjusted,state_sped_rev_adjusted,federal_sped_rev_adjusted,state_fed_sped_rev_adjusted,state_rev_v92_adjusted_real,federal_rev_v92_adjusted_real,sped_exp_pp_adjusted,state_sped_rev_pp_adjusted,federal_sped_rev_pp_adjusted,state_fed_sped_rev_pp_adjusted,sped_local_pp_obligation_adjusted
0100100,Alabama,Arab City,2696,26148000,2240000,0,563000,563000,17425000,2582000,280,8000,0,2010.7142857142856,2010.7142857142856,5989.285714285714,0,0.2513392857142857,0.7486607142857142,17425000,2019000,23908000,0.728835536222185,0.08444872009369249,0.18671574368412253,TRUE,fy20,1.1650487890214984,30463695.735334143,2609709.2874081563,0,655922.4682191036,655922.4682191036,20300975.14869961,3008155.973253509,9320.390312171987,0,2342.5802436396557,2342.5802436396557,6977.810068532332
0100120,Alabama,Athens City,4505,46353000,2797000,0,986000,986000,27781000,3958000,551,5076.225045372051,0,1789.4736842105262,1789.4736842105262,3286.7513611615245,0,0.35252055774043617,0.6474794422595638,27781000,2972000,43556000,0.6378225732390486,0.06823399761226927,0.29394342914868216,TRUE,fy20,1.1650487890214984,54003506.51751352,3258641.462893131,0,1148738.1059751974,1148738.1059751974,32366220.407806247,4611263.1069470905,5914.049841911309,0,2084.824148775313,2084.824148775313,3829.225693135996
0100180,Alabama,Attalla City,1490,15205000,1595000,0,465000,465000,10990000,2220000,177,9011.299435028248,0,2627.1186440677966,2627.1186440677966,6384.180790960451,0,0.29153605015673983,0.7084639498432601,10990000,1755000,13610000,0.807494489346069,0.12894930198383542,0.06355620867009554,TRUE,fy20,1.1650487890214984,17714566.837071884,1858252.81848929,0,541747.6868949968,541747.6868949968,12803886.191346267,2586408.3116277265,10498.603494289775,0,3060.7213948869876,3060.7213948869876,7437.882099402787
0100185,Alabama,Saraland City,3233,31123000,2952000,0,511000,511000,20496000,2520000,355,8315.492957746479,0,1439.43661971831,1439.43661971831,6876.056338028169,0,0.1731029810298103,0.8268970189701896,20496000,2009000,28171000,0.7275567072521387,0.07131447232970076,0.20112882041816052,TRUE,fy20,1.1650487890214984,36259813.4607161,3439224.0251914635,0,595339.9311899857,595339.9311899857,23878839.97978463,2935922.948334176,9687.955000539334,0,1677.013890676016,1677.013890676016,8010.941109863318
0100188,Alabama,Chickasaw City,1514,12725000,1294000,13000,274000,287000,8099000,2902000,227,5700.440528634361,57.268722466960355,1207.0484581497797,1264.3171806167402,4436.123348017621,0.01004636785162287,0.2117465224111283,0.7782071097372489,8086000,2628000,11431000,0.707374682879888,0.22990114600647363,0.06272417111363834,TRUE,fy20,1.1650487890214984,14825245.840298567,1507573.132993819,15145.63425727948,319223.3681918906,334369.00244917005,9435730.142285116,3380971.5857403884,6641.2913347745325,66.72085575894044,1406.2703444576678,1472.9912002166081,5168.300134557924
0100189,Alabama,Satsuma City,1592,14887000,1144000,0,389000,389000,10051000,1351000,177,6463.276836158192,0,2197.74011299435,2197.74011299435,4265.536723163842,0,0.34003496503496505,0.659965034965035,10051000,962000,13743000,0.7313541439278178,0.0699992723568362,0.19864658371534596,TRUE,fy20,1.1650487890214984,17344081.32216305,1332815.8146405942,0,453203.9789293629,453203.9789293629,11709905.37845508,1573980.9139680443,7530.032851076803,0,2560.4744572280388,2560.4744572280388,4969.558393848764
0100190,Alabama,Alabaster City,6293,65622000,6613000,42000,1151000,1193000,40712000,5536000,670,9870.149253731342,62.6865671641791,1717.910447761194,1780.597014925373,8089.552238805969,0.00635112656887947,0.17405111144714955,0.8195977619839709,40670000,4385000,59009000,0.6892168991170838,0.07431069836804555,0.23647240251487064,TRUE,fy20,1.1650487890214984,76452831.63316877,7704467.64179917,48932.049138902934,1340971.1561637446,1389903.2053026475,47431466.29864325,6449710.096023016,11499.20543552115,73.0329091625417,2001.4494868115592,2074.4823959741007,9424.723039547049
0100194,Alabama,Pelham City,3383,33608000,2324000,80000,714000,794000,19789000,2835000,334,6958.083832335329,239.5209580838323,2137.7245508982037,2377.245508982036,4580.838323353293,0.03442340791738382,0.3072289156626506,0.6583476764199656,19709000,2121000,31284000,0.6300025572177471,0.0677982355197545,0.3021992072624984,TRUE,fy20,1.1650487890214984,39154959.70143452,2707573.385685962,93203.90312171988,831844.8353613499,925048.7384830698,23055150.48594643,3302913.316875948,8106.5071427723415,279.05360216083795,2490.5533992854785,2769.6070014463166,5336.900141326025
0100195,Alabama,Pike Road City,2228,18511000,1469000,82000,370000,452000,12964000,1873000,188,7813.829787234043,436.17021276595744,1968.085106382979,2404.255319148936,5409.574468085107,0.05582028590878148,0.2518720217835262,0.6923076923076923,12882000,1503000,17042000,0.7558971951648867,0.08819387395845558,0.1559089308766577,TRUE,fy20,1.1650487890214984,21566218.13357696,1711456.6710725813,95534.00069976287,431068.05193795444,526602.0526377173,15103692.500874706,2182136.3818372665,9103.492931237135,508.159578190228,2292.9151698827363,2801.0747480729647,6302.418183164171
0100202,Alabama,Gulf Shores City,2221,21730000,1448000,0,378000,378000,8202000,1976000,223,6493.273542600897,0,1695.067264573991,1695.067264573991,4798.206278026906,0,0.2610497237569061,0.738950276243094,8202000,1598000,20282000,0.40439798836406665,0.07878907405581304,0.5168129375801203,TRUE,fy20,1.1650487890214984,25316510.18543716,1686990.6465031297,0,440388.4422501264,440388.4422501264,9555730.16755433,2302136.407106481,7564.98047759251,0,1974.836063901912,1974.836063901912,5590.144413690598
