dist_id,state,district,total_enroll,tcurelsc,current_sped_exp,state_sped_rev,federal_sped_rev,state_fed_sped_rev,state_rev_v92_adjusted,federal_rev_v92_adjusted,sped_enroll,sped_exp_pp,state_sped_rev_pp,federal_sped_rev_pp,state_fed_sped_rev_pp,sped_local_pp_obligation,state_sped_pct,federal_sped_pct,local_sped_pct,state_rev_no_sped,federal_rev_no_sped,current_exp_no_sped,state_no_sped_pct,federal_no_sped_pct,local_no_sped_pct,disproportionate,fy
0100360,Alabama,Bibb County,3243,33089000,3274000,0,893000,893000,24028000,4996000,458,7148.471615720524,0,1949.7816593886462,1949.7816593886462,5198.6899563318775,0,0.2727550397067807,0.7272449602932193,24028000,4103000,29815000,0.8059030689250377,0.13761529431494215,0.05648163676002013,TRUE,fy20
0100390,Alabama,Birmingham City,22726,270547000,22769000,0,5122000,5122000,138469000,48147000,2814,8091.32906894101,0,1820.184790334044,1820.184790334044,6271.144278606966,0,0.2249549826518512,0.7750450173481488,138469000,43025000,247778000,0.5588429965533663,0.1736433420239085,0.26751366142272515,TRUE,fy20
0100420,Alabama,Blount County,7653,69979000,6274000,0,1695000,1695000,53544000,7261000,991,6330.9788092835515,0,1710.393541876892,1710.393541876892,4620.585267406659,0,0.2701625757092764,0.7298374242907236,53544000,5566000,63705000,0.8404991758888627,0.08737147790597284,0.07212934620516447,TRUE,fy20
0100450,Alabama,Brewton City,1163,12226000,710000,0,261000,261000,7751000,1424000,132,5378.787878787879,0,1977.2727272727273,1977.2727272727273,3401.515151515152,0,0.3676056338028169,0.6323943661971831,7751000,1163000,11516000,0.6730635637374088,0.10098992705800625,0.22594650920458492,TRUE,fy20
0100480,Alabama,Bullock County,1459,15129000,1493000,0,424000,424000,10610000,2782000,151,9887.417218543047,0,2807.9470198675494,2807.9470198675494,7079.470198675497,0,0.2839919624916276,0.7160080375083724,10610000,2358000,13636000,0.7780874156644177,0.1729246113229686,0.04898797301261365,TRUE,fy20
0100510,Alabama,Butler County,2952,28234000,2576000,0,974000,974000,20103000,5472000,348,7402.298850574713,0,2798.8505747126437,2798.8505747126437,4603.448275862069,0,0.3781055900621118,0.6218944099378882,20103000,4498000,25658000,0.7834983241094395,0.17530594746277964,0.041195728427780826,TRUE,fy20
0100540,Alabama,Calhoun County,8495,84769000,8928000,0,2335000,2335000,58182000,9277000,1225,7288.163265306122,0,1906.1224489795918,1906.1224489795918,5382.040816326531,0,0.26153673835125446,0.7384632616487455,58182000,6942000,75841000,0.7671576060442241,0.09153360319616038,0.1413087907596155,TRUE,fy20
0100600,Alabama,Chambers County,3479,35112000,4237000,0,849000,849000,23616000,5154000,622,6811.897106109324,0,1364.951768488746,1364.951768488746,5446.945337620578,0,0.20037762567854614,0.7996223743214539,23616000,4305000,30875000,0.7648906882591093,0.1394331983805668,0.09567611336032386,TRUE,fy20
0100630,Alabama,Cherokee County,3897,41417000,3660000,0,1023000,1023000,27087000,5447000,518,7065.6370656370655,0,1974.903474903475,1974.903474903475,5090.733590733591,0,0.2795081967213115,0.7204918032786884,27087000,4424000,37757000,0.71740339539688,0.11717032603225892,0.16542627857086106,TRUE,fy20
0100660,Alabama,Chilton County,7831,68766000,5895000,0,1814000,1814000,50658000,8833000,850,6935.294117647059,0,2134.1176470588234,2134.1176470588234,4801.176470588235,0,0.30771840542832907,0.6922815945716709,50658000,7019000,62871000,0.8057450971035931,0.1116412972594678,0.0826136056369391,TRUE,fy20
