fy,n_states,n_districts,sped_enroll,current_sped_exp,state_sped_rev,federal_sped_rev,state_fed_sped_rev,n_disproportionate,total_sped_pp_expenditure,state_sped_pp_funding,federal_sped_pp_funding,state_fed_sped_pp_funding,local_sped_pp_obligation,pct_disproportionate
fy20,23,5535,2856056,37700857000,9835350000,4518747000,14354097000,4241,13200.321352242394,3443.68247681418,1582.163304921192,5025.845781735372,8174.475570507022,0.7662149954832882
fy21,28,5844,3392085,55597213000,13247252000,5180466000,18427718000,4540,16390.27707147669,3905.3419946728927,1527.2217529926284,5432.563747665521,10957.713323811167,0.7768651608487337
fy22,28,5910,3450790,59595038000,14333375000,5655818000,19989193000,4901,17269.969485248304,4153.6503235491,1638.9922307645495,5792.64255431365,11477.326930934654,0.8292724196277496
fy23,28,5918,3535044,62225040000,15659981000,5953207000,21613188000,4897,17602.338188718444,4429.925341806213,1684.05456905204,6113.979910858252,11488.358277860192,0.827475498479216
