fy,n_states,n_districts,sped_enroll,current_sped_exp,state_sped_rev,federal_sped_rev,state_fed_sped_rev,current_sped_exp_adjusted,state_sped_rev_adjusted,federal_sped_rev_adjusted,state_fed_sped_rev_adjusted,n_disproportionate,total_sped_pp_expenditure,state_fed_sped_pp_funding,local_sped_pp_obligation,total_sped_pp_expenditure_real,state_fed_sped_pp_funding_real,local_sped_pp_obligation_real,pct_disproportionate
fy20,21,4621,2453498,33463393000,9314176000,3885453000,13199629000,38986492551.25699,10851471434.62399,4526743132.196995,15378214566.821012,3435,13639.054525416364,5379.922461726074,8259.13206369029,15890.166835781805,6267.873284111506,9622.2935516703,0.7433455961913006
fy21,21,4056,2243408,34561705000,9447363000,3832191000,13279554000,39360148437.08512,10759006536.831,4364240901.866995,15123247438.698029,3069,15405.893622559963,5919.3664282199225,9486.52719434004,17544.801675435374,6741.193505014705,10803.60817042067,0.7566568047337278
fy22,21,4112,2281374,37314482000,10238045000,4274361000,14512406000,39651114862.83995,10879151377.899977,4542021485.82,15421172863.71996,3198,16356.14414821945,6361.256856613602,9994.887291605846,17380.36589478093,6759.598760974728,10620.767133806203,0.7777237354085603
fy23,21,4099,2327934,40785726000,11285913000,4479190000,15765103000,40785726000,11285913000,4479190000,15765103000,3161,17520.13845753359,6772.143454238823,10747.995003294767,17520.13845753359,6772.143454238823,10747.995003294767,0.7711636984630398
