fy,n_states,n_districts,sped_enroll,current_sped_exp,state_fed_sped_rev,current_sped_exp_adjusted,state_fed_sped_rev_adjusted,n_disproportionate,total_sped_pp_expenditure,state_fed_sped_pp_funding,local_sped_pp_obligation,total_sped_pp_expenditure_adjusted,state_fed_sped_pp_funding_adjusted,local_sped_pp_obligation_adjusted,pct_disproportionate
fy20,21,4621,2453498,33463393000,13199629000,38986485491.20039,15378211781.983015,3435,13639.054525416364,5379.922461726074,8259.13206369029,15890.163958234485,6267.872149063506,9622.29180917098,0.7433455961913006
fy21,21,4056,2243408,34561705000,13279554000,39360145026.42968,15123246128.230759,3069,15405.893622559963,5919.3664282199225,9486.52719434004,17544.800155134366,6741.192920873403,10803.607234260962,0.7566568047337278
fy22,21,4112,2281374,37314482000,14512406000,39651127366.0527,15421177726.488789,3198,16356.14414821945,6361.256856613602,9994.887291605846,17380.37137534341,6759.60089248356,10620.77048285985,0.7777237354085603
fy23,21,4099,2327934,40785726000,15765103000,40785726000,15765103000,3161,17520.13845753359,6772.143454238823,10747.995003294767,17520.13845753359,6772.143454238823,10747.995003294767,0.7711636984630398
