dist_id,state,district,state_rev_v92_adjusted_fy20,federal_rev_v92_adjusted_fy20,local_rev_v92_adjusted_fy20,state_local_federal_rev_v92_adjusted_fy20,state_sped_rev_fy20,federal_sped_rev_fy20,state_fed_sped_rev_fy20,state_rev_v92_adjusted_fy21,federal_rev_v92_adjusted_fy21,local_rev_v92_adjusted_fy21,state_local_federal_rev_v92_adjusted_fy21,state_sped_rev_fy21,federal_sped_rev_fy21,state_fed_sped_rev_fy21,state_rev_v92_adjusted_fy22,federal_rev_v92_adjusted_fy22,local_rev_v92_adjusted_fy22,state_local_federal_rev_v92_adjusted_fy22,state_sped_rev_fy22,federal_sped_rev_fy22,state_fed_sped_rev_fy22,state_rev_v92_adjusted_fy23,federal_rev_v92_adjusted_fy23,local_rev_v92_adjusted_fy23,state_local_federal_rev_v92_adjusted_fy23,state_sped_rev_fy23,federal_sped_rev_fy23,state_fed_sped_rev_fy23
2314010,Maine,Woodland Public Schools,1175000,207000,895000,2277000,0,53000,53000,1395000,723000,970000,3088000,0,64000,64000,1458000,634000,1077000,3169000,0,70000,70000,1453000,355000,1049000,2857000,0,69000,69000
2314100,Maine,Yarmouth Schools,6502000,630000,22321000,29453000,0,476000,476000,7634000,3013000,23172000,33819000,0,411000,411000,9279000,993000,23512000,33784000,0,315000,315000,10132000,487000,26260000,36879000,0,315000,315000
2314130,Maine,York Public Schools,4153000,733000,33422000,38308000,0,552000,552000,5384000,2698000,33498000,41580000,0,390000,390000,5530000,1295000,34432000,41257000,0,482000,482000,5633000,1314000,35658000,42605000,0,588000,588000
2314160,Maine,RSU 52/MSAD 52,16129000,1357000,12999000,30485000,9000,592000,601000,17675000,5115000,13773000,36563000,107000,587000,694000,17830000,3529000,13332000,34691000,77000,635000,712000,18665000,1913000,13612000,34190000,117000,611000,728000
2314190,Maine,RSU 55/MSAD 55,6675000,1160000,8158000,15993000,46000,274000,320000,7183000,2468000,7968000,17619000,51000,222000,273000,7674000,3125000,8640000,19439000,24000,299000,323000,7893000,2049000,8254000,18196000,25000,469000,494000
2314210,Maine,RSU 61/MSAD 61,6184000,1767000,25817000,33768000,25000,435000,460000,7436000,3797000,25546000,36779000,25000,358000,383000,7746000,3978000,26151000,37875000,19000,397000,416000,7976000,4118000,25749000,37843000,46000,738000,784000
2314240,Maine,RSU 51/MSAD 51,14046000,585000,26959000,41590000,0,410000,410000,15042000,3587000,28187000,46816000,0,447000,447000,16869000,1597000,30480000,48946000,0,397000,397000,15918000,976000,32510000,49404000,0,533000,533000
2314300,Maine,RSU 58/MSAD 58,3980000,518000,6987000,11485000,17000,10000,27000,4535000,1596000,7115000,13246000,25000,135000,160000,4225000,1655000,6769000,12649000,17000,155000,172000,4577000,1678000,6857000,13112000,14000,202000,216000
2314330,Maine,RSU 49/MSAD 49,16704000,2064000,11643000,30411000,30000,483000,513000,18534000,6197000,11492000,36223000,41000,576000,617000,17952000,5171000,11651000,34774000,25000,463000,488000,17776000,3785000,10766000,32327000,19000,58000,77000
2314440,Maine,RSU 64/MSAD 64,10099000,924000,5254000,16277000,32000,237000,269000,9345000,1792000,5205000,16342000,37000,209000,246000,11032000,1600000,5181000,17813000,38000,284000,322000,11691000,1880000,5231000,18802000,79000,341000,420000
2314470,Maine,RSU 63/MSAD 63,4651000,434000,6104000,11189000,38000,233000,271000,5022000,1269000,6131000,12422000,41000,242000,283000,5446000,807000,5801000,12054000,82000,194000,276000,5265000,600000,5784000,11649000,3000,179000,182000
2314530,Maine,MSAD 46,11589000,1574000,4173000,17336000,26000,309000,335000,12076000,3713000,3909000,19698000,5000,186000,191000,12294000,3260000,3660000,19214000,0,367000,367000,12556000,2824000,3553000,18933000,10000,344000,354000
2314560,Maine,RSU 59/MSAD 59,5013000,795000,5308000,11116000,33000,199000,232000,5471000,1857000,5067000,12395000,22000,200000,222000,5258000,2468000,5104000,12830000,0,248000,248000,5310000,2015000,5199000,12524000,69000,203000,272000
2314590,Maine,RSU 54/MSAD 54,23013000,4010000,14885000,41908000,41000,746000,787000,23932000,9144000,14961000,48037000,30000,618000,648000,25176000,8506000,17024000,50706000,24000,839000,863000,24844000,10252000,15607000,50703000,74000,859000,933000
