state,district,dist_id,sped_enroll_fy23
ALABAMA,Alabama Youth Services,0100002,24
ALABAMA,Albertville City,0100005,491
ALABAMA,Marshall County,0100006,724
ALABAMA,Hoover City,0100007,1319
ALABAMA,Madison City,0100008,1317
ALABAMA,Al Inst Deaf And Blind,0100009,334
ALABAMA,Leeds City,0100011,314
ALABAMA,Boaz City,0100012,223
ALABAMA,Trussville City,0100013,453
ALABAMA,Alexander City,0100030,309
ALABAMA,Andalusia City,0100060,306
ALABAMA,Anniston City,0100090,196
ALABAMA,Arab City,0100100,278
ALABAMA,Athens City,0100120,588
ALABAMA,JF Ingram State Technical College,0100176,14
ALABAMA,Attalla City,0100180,201
ALABAMA,Saraland City,0100185,365
ALABAMA,Chickasaw City,0100188,-8
ALABAMA,Satsuma City,0100189,206
ALABAMA,Alabaster City,0100190,727
ALABAMA,Pelham City,0100194,399
ALABAMA,Pike Road City,0100195,246
ALABAMA,MAEF Public Charter Schools,0100197,85
ALABAMA,University Charter School,0100199,-8
ALABAMA,Legacy Prep,0100201,40
ALABAMA,Gulf Shores City,0100202,233
ALABAMA,LEAD Academy,0100203,-8
ALABAMA,i3 Academy,0100204,93
ALABAMA,LIFE Academy,0100207,5
ALABAMA,Breakthrough Charter School,0100208,-8
ALABAMA,Auburn City,0100210,1084
ALABAMA,Magic City Acceptance Academy,0100211,35
ALABAMA,Alabama Aerospace and Aviation,0100213,7
ALABAMA,Autauga County,0100240,1125
ALABAMA,Baldwin County,0100270,4546
ALABAMA,Barbour County,0100300,87
ALABAMA,Bessemer City,0100330,303
ALABAMA,Bibb County,0100360,398
ALABAMA,Birmingham City,0100390,2351
ALABAMA,Blount County,0100420,1134
ALABAMA,Brewton City,0100450,128
ALABAMA,Bullock County,0100480,125
ALABAMA,Butler County,0100510,346
ALABAMA,Calhoun County,0100540,1232
ALABAMA,Chambers County,0100600,507
ALABAMA,Cherokee County,0100630,499
ALABAMA,Chilton County,0100660,911
ALABAMA,Choctaw County,0100690,129
ALABAMA,Clarke County,0100720,292
ALABAMA,Clay County,0100750,209
ALABAMA,Cleburne County,0100780,295
ALABAMA,Coffee County,0100810,332
ALABAMA,Colbert County,0100840,478
ALABAMA,Conecuh County,0100870,150
ALABAMA,Coosa County,0100900,137
ALABAMA,Covington County,0100930,430
ALABAMA,Crenshaw County,0100960,339
ALABAMA,Cullman City,0100990,374
ALABAMA,Cullman County,0101020,1534
ALABAMA,Dale County,0101050,336
ALABAMA,Daleville City,0101080,155
ALABAMA,Dallas County,0101110,349
ALABAMA,DeKalb County,0101140,989
ALABAMA,Decatur City,0101170,1183
ALABAMA,Demopolis City,0101200,141
ALABAMA,Dothan City,0101230,1309
ALABAMA,Elba City,0101260,95
ALABAMA,Elmore County,0101290,1538
ALABAMA,Enterprise City,0101320,581
ALABAMA,Escambia County,0101350,530
ALABAMA,Etowah County,0101380,1230
ALABAMA,Eufaula City,0101410,860
ALABAMA,Fairfield City,0101440,-8
ALABAMA,Fayette County,0101470,298
ALABAMA,Florence City,0101530,612
ALABAMA,Fort Payne City,0101560,277
ALABAMA,Franklin County,0101590,537
ALABAMA,Gadsden City,0101620,656
ALABAMA,Geneva City,0101640,158
ALABAMA,Geneva County,0101660,413
ALABAMA,Greene County,0101680,-8
ALABAMA,Guntersville City,0101690,181
ALABAMA,Hale County,0101710,187
ALABAMA,Haleyville City,0101720,232
ALABAMA,Hartselle City,0101730,537
ALABAMA,Henry County,0101740,326
ALABAMA,Homewood City,0101760,309
ALABAMA,Houston County,0101770,855
ALABAMA,Huntsville City,0101800,3039
ALABAMA,Jackson County,0101830,732
ALABAMA,Jacksonville City,0101860,252
ALABAMA,Jasper City,0101890,380
ALABAMA,Jefferson County,0101920,4877
ALABAMA,Lamar County,0101950,364
ALABAMA,Lanett City,0101980,119
ALABAMA,Lauderdale County,0102010,1131
ALABAMA,Lawrence County,0102040,820
ALABAMA,Lee County,0102070,1394
ALABAMA,Limestone County,0102100,1968
ALABAMA,Linden City,0102130,-8
ALABAMA,Lowndes County,0102160,127
ALABAMA,Macon County,0102190,187
ALABAMA,Madison County,0102220,2433
ALABAMA,Marengo County,0102250,139
ALABAMA,Marion County,0102310,436
ALABAMA,Midfield City,0102350,-8
ALABAMA,Mobile County,0102370,7768
ALABAMA,Monroe County,0102400,391
ALABAMA,Montgomery County,0102430,2496
ALABAMA,Morgan County,0102480,1062
ALABAMA,Mountain Brook City,0102490,513
ALABAMA,Muscle Shoals City,0102520,322
