state,district,dist_id,sped_enroll_fy21
ALABAMA,Acceleration Day and Evening Academy,0100197,50
ALABAMA,Al Inst Deaf And Blind,0100009,332
ALABAMA,Alabama Clinical Schools,0100183,39
ALABAMA,Alabama Youth Services,0100002,17
ALABAMA,Alabaster City,0100190,655
ALABAMA,Albertville City,0100005,452
ALABAMA,Alexander City,0100030,395
ALABAMA,Andalusia City,0100060,276
ALABAMA,Anniston City,0100090,206
ALABAMA,Arab City,0100100,253
ALABAMA,Athens City,0100120,501
ALABAMA,Attalla City,0100180,173
ALABAMA,Auburn City,0100210,946
ALABAMA,Autauga County,0100240,1016
ALABAMA,Baldwin County,0100270,4215
ALABAMA,Barbour County,0100300,-8
ALABAMA,BayPointe Residential Services,0100037,22
ALABAMA,Bessemer City,0100330,358
ALABAMA,Bibb County,0100360,430
ALABAMA,Birmingham City,0100390,2669
ALABAMA,Blount County,0100420,979
ALABAMA,Boaz City,0100012,184
ALABAMA,Boyd School,0100020,3
ALABAMA,Brantwood Childrens Home,0100040,7
ALABAMA,BrewerPorch Childrens Center,0100021,22
ALABAMA,Brewton City,0100450,121
ALABAMA,Bullock County,0100480,136
ALABAMA,Butler County,0100510,328
ALABAMA,Calhoun County,0100540,1119
ALABAMA,Chambers County,0100600,600
ALABAMA,Cherokee County,0100630,494
ALABAMA,Chickasaw City,0100188,312
ALABAMA,Chilton County,0100660,845
ALABAMA,Choctaw County,0100690,144
ALABAMA,Clarke County,0100720,271
ALABAMA,Clay County,0100750,221
ALABAMA,Cleburne County,0100780,264
ALABAMA,Coffee County,0100810,270
ALABAMA,Colbert County,0100840,434
ALABAMA,Conecuh County,0100870,163
ALABAMA,Coosa County,0100900,114
ALABAMA,Covington County,0100930,422
ALABAMA,Crenshaw County,0100960,320
ALABAMA,Cullman City,0100990,365
ALABAMA,Cullman County,0101020,1417
ALABAMA,Dale County,0101050,272
ALABAMA,Daleville City,0101080,137
ALABAMA,Dallas County,0101110,394
ALABAMA,Decatur City,0101170,1142
ALABAMA,DeKalb County,0101140,959
ALABAMA,Demopolis City,0101200,135
ALABAMA,Dothan City,0101230,1206
ALABAMA,East Alabama Academy,0100200,-8
ALABAMA,Elba City,0101260,-8
ALABAMA,Elmore County,0101290,1480
ALABAMA,Enterprise City,0101320,546
ALABAMA,Escambia County,0101350,529
ALABAMA,Etowah County,0101380,1053
ALABAMA,Eufaula City,0101410,895
ALABAMA,Evergreen School,0100191,-8
ALABAMA,Fairfield City,0101440,195
ALABAMA,Father Purcell Center,0100186,-8
ALABAMA,Fayette County,0101470,269
ALABAMA,Florence City,0101530,564
ALABAMA,Fort Payne City,0101560,239
ALABAMA,Franklin County,0101590,522
ALABAMA,Gadsden City,0101620,691
ALABAMA,Geneva City,0101640,138
ALABAMA,Geneva County,0101660,395
ALABAMA,Glenwood Mental Health Service,0100033,34
ALABAMA,Greene County,0101680,84
ALABAMA,Gulf Shores City,0100202,199
ALABAMA,Guntersville City,0101690,139
ALABAMA,Hale County,0101710,191
ALABAMA,Haleyville City,0101720,206
ALABAMA,Hartselle City,0101730,499
ALABAMA,Henry County,0101740,306
ALABAMA,Higdon Hill School,0100178,25
ALABAMA,Homewood City,0101760,276
ALABAMA,Hoover City,0100007,1241
ALABAMA,Houston County,0101770,747
ALABAMA,Huntsville City,0101800,3000
ALABAMA,i3 Academy,0100204,30
ALABAMA,Jackson County,0101830,629
ALABAMA,Jacksonville City,0101860,222
ALABAMA,Jasper City,0101890,354
ALABAMA,Jefferson County,0101920,4862
ALABAMA,JF Ingram State Technical College,0100176,15
ALABAMA,Lamar County,0101950,353
ALABAMA,Lanett City,0101980,115
ALABAMA,Lauderdale County,0102010,1023
ALABAMA,Laurel Oaks Behavioral Health Center,0100042,40
ALABAMA,Lawrence County,0102040,760
ALABAMA,LEAD Academy,0100203,22
ALABAMA,Lee County,0102070,1325
ALABAMA,Lee County Youth Development Center,0100036,8
ALABAMA,Leeds City,0100011,284
ALABAMA,Legacy Prep,0100201,21
ALABAMA,Limestone County,0102100,1449
ALABAMA,Linden City,0102130,-8
ALABAMA,Lowndes County,0102160,152
ALABAMA,Macon County,0102190,189
ALABAMA,Madison City,0100008,1287
ALABAMA,Madison County,0102220,2289
ALABAMA,Marengo County,0102250,129
ALABAMA,Marion County,0102310,420
ALABAMA,Marshall County,0100006,811
ALABAMA,Midfield City,0102350,-8
ALABAMA,Mobile County,0102370,7621
ALABAMA,Monroe County,0102400,405
ALABAMA,Montgomery Childrens Specialty Center,0100187,-8
ALABAMA,Montgomery County,0102430,2729
ALABAMA,Montgomery Public Schools MPS Classroom McInnis,0100192,4
ALABAMA,Morgan County,0102480,1013
ALABAMA,Mountain Brook City,0102490,482
ALABAMA,Muscle Shoals City,0102520,313
ALABAMA,Oneonta City,0102550,-8
ALABAMA,Opelika City,0102580,490
ALABAMA,Opp City,0102610,186
ALABAMA,Oxford City,0102635,499
ALABAMA,Ozark City,0102640,266
ALABAMA,Pathway Inc,0100038,50
ALABAMA,Pelham City,0100194,317
ALABAMA,Pell City,0102650,440
ALABAMA,Perry County,0102670,172
ALABAMA,Phenix City,0102700,685
ALABAMA,Pickens County,0102730,350
ALABAMA,Piedmont City,0102760,156
ALABAMA,Pike County,0102790,342
ALABAMA,Pike Road City,0100195,200
ALABAMA,POINTE Academy LLC,0100175,12
ALABAMA,Presbyterian Home for Children,0100039,3
ALABAMA,Randolph County,0102820,292
ALABAMA,Roanoke City,0102850,154
ALABAMA,Russell County,0102880,394
ALABAMA,Russellville City,0102910,207
ALABAMA,SafetyNet Academy Minter,0100015,35
ALABAMA,Saraland City,0100185,311
ALABAMA,Satsuma City,0100189,163
ALABAMA,Scottsboro City,0102940,268
ALABAMA,Selma City,0102970,303
ALABAMA,Sequel TSI Courtland LLC,0100022,12
ALABAMA,Sequel TSI Montgomery LLC,0100198,6
ALABAMA,Sequel TSI New Beginnings LLC,0100024,-8
ALABAMA,Sequel TSI Tuskegee LLC,0100026,10
ALABAMA,Sheffield City,0103000,153
ALABAMA,Shelby County,0103030,2192
ALABAMA,Southeastern Psychiaric Management Inc,0100043,17
ALABAMA,St Clair County,0103062,1426
ALABAMA,Sumter County,0103090,155
ALABAMA,Sylacauga City,0103120,257
ALABAMA,Talladega City,0103150,255
ALABAMA,Talladega County,0103180,910
ALABAMA,Tallapoosa County,0103210,387
ALABAMA,Tallassee City,0103240,247
ALABAMA,Tarrant City,0103270,150
ALABAMA,The Little Tree Preschool  Auburn,0100035,58
ALABAMA,Thomasville City,0103300,-8
ALABAMA,Triwill Portacras,0100028,4
ALABAMA,Troy City,0103330,218
ALABAMA,Trussville City,0100013,443
ALABAMA,Tuscaloosa City,0103360,1282
ALABAMA,Tuscaloosa County,0103390,2698
ALABAMA,Tuscumbia City,0103420,-8
ALABAMA,United Ability,0100019,0
ALABAMA,University Charter School,0100199,54
ALABAMA,Vestavia Hills City,0103430,631
ALABAMA,Walker County,0103450,1051
ALABAMA,Washington County,0103480,361
ALABAMA,Wilcox County,0103510,130
ALABAMA,Winfield City,0103540,119
ALABAMA,Winston County,0103580,377
ALASKA,Alaska Gateway School District,0200050,-8
ALASKA,Aleutian Region School District,0200010,4
ALASKA,Aleutians East Borough School District,0200007,-8
ALASKA,Anchorage School District,0200180,5912
ALASKA,Annette Island School District,0200525,78
ALASKA,Bering Strait School District,0200020,187
ALASKA,Bristol Bay Borough School District,0200030,16
ALASKA,Chatham School District,0200730,22
ALASKA,Chugach School District,0200800,40
ALASKA,Copper River School District,0200070,61
ALASKA,Cordova City School District,0200060,41
ALASKA,Craig City School District,0200090,91
ALASKA,Delta/Greely School District,0200100,82
ALASKA,Denali Borough School District,0200770,113
ALASKA,Dillingham City School District,0200120,70
ALASKA,Fairbanks North Star Borough School District,0200600,1948
ALASKA,Galena City School District,0200130,-8
ALASKA,Haines Borough School District,0200270,-8
ALASKA,Hoonah City School District,0200300,24
ALASKA,Hydaburg City School District,0200330,15
ALASKA,Iditarod Area School District,0200520,42
ALASKA,Juneau Borough School District,0200210,776
ALASKA,Kake City School District,0200360,18
ALASKA,Kashunamiut School District,0200005,34
ALASKA,Kenai Peninsula Borough School District,0200390,1479
ALASKA,Ketchikan Gateway Borough School District,0200150,318
ALASKA,Klawock City School District,0200450,15
ALASKA,Kodiak Island Borough School District,0200480,262
ALASKA,Kuspuk School District,0200760,-8
ALASKA,Lake and Peninsula Borough School District,0200485,56
ALASKA,Lower Kuskokwim School District,0200001,519
ALASKA,Lower Yukon School District,0200003,256
ALASKA,Matanuska-Susitna Borough School District,0200510,2378
ALASKA,Mount Edgecumbe,0200006,18
ALASKA,Nenana City School District,0200540,141
ALASKA,Nome Public Schools,0200570,-8
ALASKA,North Slope Borough School District,0200610,230
ALASKA,Northwest Arctic Borough School District,0200625,281
ALASKA,Pelican City School District,0200630,-8
ALASKA,Petersburg Borough School District,0200660,67
ALASKA,Pribilof School District,0200670,10
ALASKA,Saint Mary's School District,0200680,25
ALASKA,Sitka School District,0200240,144
ALASKA,Skagway School District,0200690,-8
ALASKA,Southeast Island School District,0200700,29
ALASKA,Southwest Region School District,0200710,95
ALASKA,Tanana City School District,0200715,8
ALASKA,Unalaska City School District,0200720,19
ALASKA,Valdez City School District,0200780,109
ALASKA,Wrangell Public School District,0200810,-8
ALASKA,Yakutat School District,0200840,-8
ALASKA,Yukon Flats School District,0200775,52
ALASKA,Yukon-Koyukuk School District,0200862,501
ALASKA,Yupiit School District,0200004,57
ARIZONA,A+ Charter Schools (1000166),0400998,25
ARIZONA,"Academy Del Sol, Inc. (90199)",0400797,46
ARIZONA,"Academy of Building Industries, Inc. (85540)",0400414,15
ARIZONA,"Academy of Mathematics and Science South, Inc. (90878)",0400891,417
ARIZONA,"Academy of Mathematics and Science, Inc. (79961)",0400368,47
ARIZONA,"Academy of Mathematics and Science, Inc. (92768)",0400940,70
ARIZONA,"Academy of Tucson, Inc. (78897)",0400202,44
ARIZONA,Academy with Community Partners  Inc (79213),0400276,10
ARIZONA,Accelerated Elementary and Secondary Schools (6364),0400129,22
ARIZONA,"Accelerated Learning Center, Inc. (4297)",0400121,22
ARIZONA,Acclaim Charter School (4325),0400122,32
ARIZONA,Acorn Montessori Charter School (79437),0400320,76
ARIZONA,Agua Fria Union High School District (4289),0400450,917
ARIZONA,Aguila Elementary District (4249),0400480,22
ARIZONA,AIBT Non-Profit Charter High School - Phoenix (79053),0400274,16
ARIZONA,"AIBT Non-Profit Charter High School, Inc. (449790)",0400970,-8
ARIZONA,Ajo Unified District (4409),0400520,39
ARIZONA,"Akimel O Otham Pee Posh Charter School, Inc. (5978)",0400403,4
ARIZONA,Alhambra Elementary District (4280),0400600,1238
ARIZONA,All Aboard Charter School (79969),0400396,11
ARIZONA,"Allen-Cochran Enterprises, Inc. (4347)",0400111,29
ARIZONA,Alpine Elementary District (4161),0400630,7
ARIZONA,Altar Valley Elementary District (4418),0404770,104
ARIZONA,American Basic Schools LLC (79215),0400218,57
ARIZONA,American Charter Schools Foundation d.b.a. Alta Vi (80995),0400619,54
ARIZONA,American Charter Schools Foundation d.b.a. Apache  (79883),0400357,19
ARIZONA,American Charter Schools Foundation d.b.a. Crestvi (79874),0400385,17
ARIZONA,American Charter Schools Foundation d.b.a. Desert  (79872),0400384,38
ARIZONA,American Charter Schools Foundation d.b.a. Estrell (79873),0400352,15
ARIZONA,American Charter Schools Foundation d.b.a. Peoria  (79875),0400353,71
ARIZONA,American Charter Schools Foundation d.b.a. South P (80989),0400618,68
ARIZONA,American Charter Schools Foundation d.b.a. South R (88334),0400447,26
ARIZONA,American Charter Schools Foundation d.b.a. Sun Val (79877),0400354,26
ARIZONA,American Charter Schools Foundation d.b.a. West Ph (79879),0400355,33
ARIZONA,"American Leadership Academy, Inc. (4348)",0400112,1080
ARIZONA,American Virtual Academy (79461),0400329,621
ARIZONA,Amphitheater Unified District (4406),0400680,2143
ARIZONA,Antelope Union High School District (4506),0400720,31
ARIZONA,Anthem Preparatory Academy (90532),0400819,52
ARIZONA,Apache Junction Unified District (4443),0400790,538
ARIZONA,Aprender Tucson (79426),0400318,30
ARIZONA,ARCHES Academy (92980),0400989,12
ARIZONA,Archway Classical Academy Arete (92312),0400888,33
ARIZONA,Archway Classical Academy Chandler (90917),0400834,29
ARIZONA,Archway Classical Academy Cicero (92314),0400886,26
ARIZONA,Archway Classical Academy Glendale (91878),0400866,34
ARIZONA,Archway Classical Academy Lincoln (92656),0400925,53
ARIZONA,Archway Classical Academy North Phoenix (91758),0400873,54
ARIZONA,Archway Classical Academy Scottsdale (90857),0400841,49
ARIZONA,Archway Classical Academy Trivium East (92704),0400930,56
ARIZONA,Archway Classical Academy Trivium West (90915),0400832,47
ARIZONA,Archway Classical Academy Veritas (90916),0400833,55
ARIZONA,Arete Preparatory Academy (89486),0400757,27
ARIZONA,Arizona Agribusiness & Equine Center INC. (134379),0400969,6
ARIZONA,"Arizona Agribusiness & Equine Center, Inc. (4331)",0400106,21
ARIZONA,"Arizona Agribusiness & Equine Center, Inc. (85816)",0400417,35
ARIZONA,"Arizona Agribusiness & Equine Center, Inc. (87403)",0400426,11
ARIZONA,"Arizona Agribusiness & Equine Center, Inc. (90779)",0400828,16
ARIZONA,"Arizona Agribusiness & Equine Center, Inc. (91131)",0400838,22
ARIZONA,"Arizona Autism Charter Schools, Inc. (91958)",0400913,313
ARIZONA,"Arizona Call-a-Teen Youth Resources, Inc. (4346)",0400057,3
ARIZONA,Arizona Community Development Corporation (79947),0400361,264
ARIZONA,"Arizona Connections Academy Charter School, Inc. (87407)",0400427,288
ARIZONA,Arizona Department of Corrections (8336),0400120,72
ARIZONA,Arizona Department of Juvenile Corrections (8326),0409734,55
ARIZONA,Arizona Education Solutions (90758),0400827,133
ARIZONA,Arizona Language Preparatory (92566),0400918,-8
ARIZONA,Arizona Montessori Charter School at Anthem (85749),0400415,70
ARIZONA,Arizona School For The Arts (4345),0400056,46
ARIZONA,Arlington Elementary District (4274),0400840,27
ARIZONA,Ash Creek Elementary District (4187),0400870,7
ARIZONA,Ash Fork Joint Unified District (4471),0400910,-8
ARIZONA,ASU Preparatory Academy - Casa Grande (92987),0400947,5
ARIZONA,ASU Preparatory Academy (346763),0400946,34
ARIZONA,ASU Preparatory Academy (89949),0400764,45
ARIZONA,ASU Preparatory Academy (90273),0400788,23
ARIZONA,ASU Preparatory Academy (91303),0400858,42
ARIZONA,ASU Preparatory Academy (91305),0400859,41
ARIZONA,ASU Preparatory Academy (91307),0400857,41
ARIZONA,ASU Preparatory Academy (92325),0400890,49
ARIZONA,ASU Preparatory Academy (92327),0400884,54
ARIZONA,ASU Preparatory Academy (92716),0400956,7
ARIZONA,ASU Preparatory Academy Digital (522074),0400965,160
ARIZONA,Avondale Elementary District (4272),0400960,808
ARIZONA,"AZ Compass Schools, Inc. (89869)",0400785,35
ARIZONA,Az-Tec High School (4508),0400094,18
ARIZONA,Baboquivari Unified School District #40 (4412),0403950,127
ARIZONA,Bagdad Unified District (4468),0401000,75
ARIZONA,Ball Charter Schools (Dobson) (79204),0400184,73
