state,district,dist_id,sped_enroll_fy22
ALASKA,Denali Borough School District,0200770,0
ALASKA,Dillingham City School District,0200120,0
ALASKA,Fairbanks North Star Borough School District,0200600,2105
ALASKA,Galena City School District,0200130,0
ALASKA,Haines Borough School District,0200270,0
ALASKA,Hoonah City School District,0200300,0
ALASKA,Hydaburg City School District,0200330,17
ALASKA,Iditarod Area School District,0200520,0
ALASKA,Juneau Borough School District,0200210,788
ALASKA,Kake City School District,0200360,20
ALASKA,Kashunamiut School District,0200005,0
ALASKA,Kenai Peninsula Borough School District,0200390,1525
ALASKA,Ketchikan Gateway Borough School District,0200150,374
ALASKA,Klawock City School District,0200450,0
ALASKA,Kodiak Island Borough School District,0200480,298
ALASKA,Kuspuk School District,0200760,52
ALASKA,Lake and Peninsula Borough School District,0200485,62
ALASKA,Lower Kuskokwim School District,0200001,474
ALASKA,Lower Yukon School District,0200003,254
ALASKA,Matanuska-Susitna Borough School District,0200510,2567
ALASKA,Mount Edgecumbe,0200006,23
ALASKA,Nenana City School District,0200540,0
ALASKA,Nome Public Schools,0200570,0
ALASKA,North Slope Borough School District,0200610,216
ALASKA,Northwest Arctic Borough School District,0200625,250
ALASKA,Pelican City School District,0200630,0
ALASKA,Petersburg Borough School District,0200660,71
ALASKA,Pribilof School District,0200670,7
ALASKA,Saint Mary's School District,0200680,26
ALASKA,Sitka School District,0200240,156
ALASKA,Skagway School District,0200690,0
ALASKA,Southeast Island School District,0200700,31
ALASKA,Southwest Region School District,0200710,86
ALASKA,Tanana City School District,0200715,6
ALASKA,Unalaska City School District,0200720,0
ALASKA,Valdez City School District,0200780,107
ALASKA,Wrangell Public School District,0200810,0
ALASKA,Yakutat School District,0200840,19
ALASKA,Yukon Flats School District,0200775,37
ALASKA,Yukon-Koyukuk School District,0200862,412
ALASKA,Yupiit School District,0200004,0
ARIZONA,A+ Charter Schools (1000166),0400998,39
ARIZONA,"Academy Del Sol, Inc. (90199)",0400797,53
ARIZONA,"Academy of Building Industries, Inc. (85540)",0400414,21
ARIZONA,"Academy of Mathematics and Science South, Inc. (90878)",0400891,0
ARIZONA,"Academy of Mathematics and Science, Inc. (79961)",0400368,78
ARIZONA,"Academy of Mathematics and Science, Inc. (92768)",0400940,66
ARIZONA,"Academy of Tucson, Inc. (78897)",0400202,45
ARIZONA,Academy with Community Partners  Inc (79213),0400276,10
ARIZONA,Accelerated Elementary and Secondary Schools (6364),0400129,22
ARIZONA,"Accelerated Learning Center, Inc. (4297)",0400121,24
ARIZONA,Acclaim Charter School (4325),0400122,32
ARIZONA,Acorn Montessori Charter School (79437),0400320,74
ARIZONA,Agua Fria Union High School District (4289),0400450,977
ARIZONA,Aguila Elementary District (4249),0400480,17
ARIZONA,AIBT Non-Profit Charter High School - Phoenix (79053),0400274,14
ARIZONA,"AIBT Non-Profit Charter High School, Inc. (449790)",0400970,0
ARIZONA,Ajo Unified District (4409),0400520,45
