state,district,dist_id,sped_enroll_fy20
ALABAMA,Alabama Youth Services,0100002,36
ALABAMA,Albertville City,0100005,455
ALABAMA,Marshall County,0100006,848
ALABAMA,Hoover City,0100007,1333
ALABAMA,Madison City,0100008,1385
ALABAMA,Al Inst Deaf And Blind,0100009,386
ALABAMA,Leeds City,0100011,287
ALABAMA,Boaz City,0100012,200
ALABAMA,Trussville City,0100013,455
ALABAMA,SafetyNet Academy Minter,0100015,42
ALABAMA,Bryce Adolescent School,0100016,NA
ALABAMA,Alabama School of Fine Arts,0100018,NA
ALABAMA,United Ability,0100019,19
ALABAMA,Boyd School,0100020,3
ALABAMA,BrewerPorch Childrens Center,0100021,29
ALABAMA,Sequel TSI Courtland LLC,0100022,21
ALABAMA,Sequel TSI Madison LLC,0100023,NA
ALABAMA,Sequel TSI New Beginnings LLC,0100024,9
ALABAMA,Sequel TSI Tuskegee LLC,0100026,16
ALABAMA,Triwill Portacras,0100028,4
ALABAMA,Alexander City,0100030,468
ALABAMA,Glenwood Mental Health Service,0100033,41
ALABAMA,The Little Tree Preschool  Auburn,0100035,87
ALABAMA,Lee County Youth Development Center,0100036,24
ALABAMA,BayPointe Residential Services,0100037,14
ALABAMA,Pathway Inc,0100038,41
ALABAMA,Presbyterian Home for Children,0100039,4
ALABAMA,Brantwood Childrens Home,0100040,4
ALABAMA,Developing Alabama Youth Prog,0100041,NA
ALABAMA,Laurel Oaks Behavioral Health Center,0100042,43
ALABAMA,Southeastern Psychiaric Management Inc,0100043,15
ALABAMA,Andalusia City,0100060,279
ALABAMA,Anniston City,0100090,229
ALABAMA,Arab City,0100100,280
ALABAMA,Athens City,0100120,551
ALABAMA,POINTE Academy LLC,0100175,25
ALABAMA,JF Ingram State Technical College,0100176,38
ALABAMA,Higdon Hill School,0100178,38
ALABAMA,Attalla City,0100180,177
ALABAMA,Alabama Clinical Schools,0100183,39
ALABAMA,Saraland City,0100185,355
ALABAMA,Father Purcell Center,0100186,10
ALABAMA,Montgomery Childrens Specialty Center,0100187,5
ALABAMA,Chickasaw City,0100188,227
ALABAMA,Satsuma City,0100189,177
ALABAMA,Alabaster City,0100190,670
ALABAMA,Evergreen School,0100191,3
ALABAMA,Montgomery Public Schools MPS Classroom McInnis,0100192,6
ALABAMA,Pelham City,0100194,334
ALABAMA,Pike Road City,0100195,188
ALABAMA,Acceleration Day and Evening Academy,0100197,42
ALABAMA,Sequel TSI Montgomery LLC,0100198,3
ALABAMA,University Charter School,0100199,36
ALABAMA,East Alabama Academy,0100200,3
ALABAMA,Legacy Prep,0100201,8
ALABAMA,Gulf Shores City,0100202,223
ALABAMA,LEAD Academy,0100203,19
ALABAMA,Auburn City,0100210,989
ALABAMA,Autauga County,0100240,1067
ALABAMA,Baldwin County,0100270,4670
ALABAMA,Barbour County,0100300,87
ALABAMA,Bessemer City,0100330,410
ALABAMA,Bibb County,0100360,458
ALABAMA,Birmingham City,0100390,2814
ALABAMA,Blount County,0100420,991
ALABAMA,Brewton City,0100450,132
ALABAMA,Bullock County,0100480,151
ALABAMA,Butler County,0100510,348
ALABAMA,Calhoun County,0100540,1225
ALABAMA,Chambers County,0100600,622
ALABAMA,Cherokee County,0100630,518
ALABAMA,Chilton County,0100660,850
ALABAMA,Choctaw County,0100690,161
ALABAMA,Clarke County,0100720,290
ALABAMA,Clay County,0100750,222
ALABAMA,Cleburne County,0100780,291
ALABAMA,Coffee County,0100810,273
ALABAMA,Colbert County,0100840,456
ALABAMA,Conecuh County,0100870,181
ALABAMA,Coosa County,0100900,124
ALABAMA,Covington County,0100930,462
ALABAMA,Crenshaw County,0100960,330
