state,district_count
Alabama,138
Alaska,50
Arkansas,233
California,830
Colorado,175
Connecticut,168
District of Columbia,1
Florida,65
Georgia,179
Hawaii,1
Idaho,109
Indiana,288
Iowa,325
Kansas,286
Kentucky,171
Louisiana,75
Maine,172
Maryland,24
Massachusetts,290
Mississippi,139
Missouri,485
Montana,277
Nebraska,244
Nevada,18
New Hampshire,154
New Jersey,543
New Mexico,88
North Carolina,122
North Dakota,125
Ohio,609
Oklahoma,499
Oregon,155
Pennsylvania,498
Rhode Island,38
South Dakota,147
Tennessee,141
Texas,1012
Utah,41
Vermont,61
Virginia,131
Washington,278
West Virginia,55
Wisconsin,420
Wyoming,48
