state,local_sped_pp_obligation_adjusted_fy20,local_sped_pp_obligation_adjusted_fy23,pct_disproportionate_fy20,pct_disproportionate_fy23,local_sped_pp_obligation_adjusted_diff,local_sped_pp_obligation_adjusted_pct_change,pct_disproportionate_diff
California,12754.196244553415,16040.513737416712,0.9517326732673267,0.9777468706536857,3286.317492863296,0.2576655894146755,0.026014197386359017
Mississippi,4073.052015827495,6240.860680444561,0.9926470588235294,1,2167.808664617066,0.5322320108344226,0.007352941176470562
Washington,2143.0282104235957,3979.872368411541,0.44609665427509293,0.5708333333333333,1836.8441579879454,0.857125514752263,0.12473667905824037
Missouri,8211.747653766277,9603.999398586679,0.9294605809128631,0.9566265060240964,1392.2517448204017,0.16954390265290878,0.02716592511123328
Virginia,11952.411317321701,13007.513189012188,0.946969696969697,0.9689922480620154,1055.1018716904873,0.08827523113778808,0.022022551092318432
Connecticut,20086.864849645528,21011.150184406895,0.9090909090909091,0.937888198757764,924.2853347613673,0.04601441497614687,0.02879728966685491
Nebraska,6466.446849513624,7335.550944010416,0.14344262295081966,0.2131979695431472,869.1040944967917,0.13440210902872599,0.06975534659232754
Georgia,3113.67016824898,3808.526702808156,0.0670391061452514,0.14201183431952663,694.856534559176,0.22316317946738048,0.07497272817427524
South Dakota,7036.130026707668,7489.464508094645,0.9455782312925171,0.972972972972973,453.33448138697713,0.06442952015756033,0.02739474168045597
Utah,613.3110657578118,967.3063058066664,0.0975609756097561,0.1282051282051282,353.9952400488546,0.5771871075103715,0.030644152595372093
West Virginia,8701.7340299302,8999.55703727881,1,1,297.8230073486102,0.03422570792490645,0
Alabama,7140.938218976446,7372.71596465643,1,1,231.77774567998404,0.032457604109226726,0
Idaho,7705.3885402591895,7909.462070685034,1,1,204.07353042584418,0.02648452175508072,0
Arkansas,688.9858723540501,851.2700834754514,0.1452991452991453,0.16738197424892703,162.2842111214013,0.23554069485768514,0.022082828949781724
North Dakota,12875.234635232115,12994.559151785714,0.9841269841269841,0.9693877551020408,119.3245165535991,0.009267754719364609,-0.01473922902494329
Iowa,14459.731917230876,14524.442863549899,1,1,64.7109463190227,0.004475252147787759,0
New Jersey,11905.242484383925,11732.920451417562,0.492619926199262,0.555992141453831,-172.32203296636362,-0.014474466453950684,0.06337221525456904
Maine,16523.567314962816,16275.8929835323,0.9825581395348837,0.9921875,-247.67433143051676,-0.014989156197901452,0.00962936046511631
Montana,6315.498311867411,5604.545956085181,0.8978102189781022,0.9140271493212669,-710.9523557822295,-0.11257264600107383,0.016216930343164737
Maryland,14258.040991972597,10914.539099789905,1,0.9583333333333334,-3343.5018921826922,-0.23449938838477974,-0.04166666666666663
Nevada,7426.496215655079,1006.122715648391,0.29411764705882354,0.625,-6420.373500006688,-0.8645225572824664,0.33088235294117646
