fy,highest_pp_state,highest_pp_value,lowest_pp_state,lowest_pp_value
fy20,Connecticut,24794.021524427473,Mississippi,5262.237046139442
fy21,Connecticut,27234.74658486064,Arkansas,7241.043625955399
fy22,Connecticut,28731.84580009506,Arkansas,7395.650702839039
fy23,Connecticut,29394.140639358924,Arkansas,7610.492774436765
