fy,state,n_districts,sped_enroll,current_sped_exp,state_sped_rev,federal_sped_rev,state_fed_sped_rev,n_disproportionate,total_sped_pp_expenditure,state_sped_pp_funding,federal_sped_pp_funding,state_fed_sped_pp_funding,local_sped_pp_obligation,pct_disproportionate
fy23,Idaho,88,32086,316633000,4397000,58453000,62850000,88,9868.26030044256,137.03796048120677,1821.7602692763198,1958.7982297575265,7909.462070685034,1
fy23,Iowa,281,64661,968253000,2487000,26601000,29088000,281,14974.2967167226,38.46213327972039,411.3917198929803,449.8538531727007,14524.442863549899,1
fy23,Maine,128,21193,385002000,2959000,37108000,40067000,127,18166.470060869156,139.62157316094937,1750.9555041759072,1890.5770773368565,16275.8929835323,0.9921875
fy23,Maryland,24,103287,1798677000,420830000,250517000,671347000,23,17414.359987220076,4074.375284401716,2425.4456030284546,6499.82088743017,10914.539099789905,0.9583333333333334
fy23,Mississippi,136,64693,542000000,4291000,133969000,138260000,136,8378.031626296508,66.32865997866848,2070.8422858732783,2137.1709458519467,6240.860680444561,1
fy23,Missouri,415,99765,1289598000,189909000,141546000,331455000,397,12926.356938806195,1903.5633739287325,1418.7941662907833,3322.357540219516,9603.999398586679,0.9566265060240964
fy23,Montana,221,18126,165137000,36184000,27365000,63549000,202,9110.504248041487,1996.248482842326,1509.7098091139799,3505.958291956306,5604.545956085181,0.9140271493212669
fy23,Nebraska,197,49152,653030000,220947000,71526000,292473000,42,13285.929361979166,4495.17822265625,1455.2001953125,5950.37841796875,7335.550944010416,0.2131979695431472
fy23,Nevada,16,53571,701820000,568229000,79692000,647921000,10,13100.744805958448,10607.02618954285,1487.595900767206,12094.622090310057,1006.122715648391,0.625
fy23,New Jersey,509,217980,4398331000,1451721000,389068000,1840789000,283,20177.681438664098,6659.881640517478,1784.8793467290577,8444.760987246536,11732.920451417562,0.555992141453831
fy23,North Dakota,98,14336,217766000,7069000,24407000,31476000,95,15190.150669642857,493.0943080357143,1702.4972098214287,2195.5915178571427,12994.559151785714,0.9693877551020408
fy23,South Dakota,111,20075,258397000,70578000,37468000,108046000,108,12871.581569115815,3515.7160647571604,1866.40099626401,5382.11706102117,7489.464508094645,0.972972972972973
fy23,Utah,39,72124,585821000,408148000,107907000,516055000,5,8122.41417558649,5658.976207642394,1496.1316621374299,7155.107869779824,967.3063058066664,0.1282051282051282
fy23,Virginia,129,164910,3013134000,554652000,313413000,868065000,125,18271.384391486266,3363.361833727488,1900.509368746589,5263.871202474077,13007.513189012188,0.9689922480620154
fy23,Washington,240,138367,2739573000,1928418000,260472000,2188890000,137,19799.323538126864,13936.979193015675,1882.4719766996466,15819.451169715323,3979.872368411541,0.5708333333333333
fy23,West Virginia,54,42893,474255000,5313000,82924000,88237000,54,11056.699228312313,123.86636514116522,1933.2758258923368,2057.142191033502,8999.55703727881,1
