fy,state,n_districts,sped_enroll,current_sped_exp,state_sped_rev,federal_sped_rev,state_fed_sped_rev,current_sped_exp_adjusted,state_sped_rev_adjusted,federal_sped_rev_adjusted,state_fed_sped_rev_adjusted,n_disproportionate,total_sped_pp_expenditure,state_fed_sped_pp_funding,local_sped_pp_obligation,total_sped_pp_expenditure_adjusted,state_fed_sped_pp_funding_adjusted,local_sped_pp_obligation_adjusted,pct_disproportionate
fy20,Washington,269,150958,2361186000,1858197000,225312000,2083509000,2750896889.954517,2164890164.6133814,262499472.7520121,2427389637.3653917,120,15641.34394997284,13801.911790034314,1839.4321599385257,18222.928827584605,16079.900617161009,2143.0282104235957,0.44609665427509293
fy20,West Virginia,55,46980,435523000,6260000,78370000,84630000,507405543.7410102,7293205.419274582,91304873.59561484,98598079.0148894,55,9270.39165602384,1801.4048531289911,7468.986802894849,10800.458572605581,2098.724542675381,8701.7340299302,1
fy21,Alabama,116,85793,740889000,927000,173487000,174414000,843751732.9797974,1055701.8075207921,197573397.49876976,198629099.30629054,116,8635.774480435466,2032.9630622544962,6602.81141818097,9834.73864977093,2315.213354309682,7519.525295461248,1
fy21,Arkansas,234,63586,460429000,319137000,125657000,444794000,524353535.6364518,363444992.1755802,143102828.5087811,506547820.68436146,32,7241.043625955399,6995.156166451735,245.8874595036641,8246.367685283738,7966.341972829891,280.0257124538466,0.13675213675213677
fy21,California,726,670678,12637155000,2046052000,1282428000,3328480000,14391658441.66171,2330119519.613302,1460476329.682064,3790595849.2953615,708,18842.35803172312,4962.858480522695,13879.499551200426,21458.372634351672,5651.886373632893,15806.486260718779,0.9752066115702479
fy21,Connecticut,154,76278,2077412000,505306000,118545000,623851000,2365833444.8386006,575461119.2568513,135003420.46661517,710464539.7234664,143,27234.74658486064,8178.649151786884,19056.097433073755,31015.93440885446,9314.147456979292,21701.78695187517,0.9285714285714286
fy21,Georgia,170,207063,2489837000,1521137000,327646000,1848783000,2835518253.8642335,1732326947.5585256,373135355.3688862,2105462302.9274127,19,12024.53842550335,8928.601440141407,3095.936985361943,13693.988080266554,10168.220797184493,3525.767283082061,0.11176470588235295
fy21,Idaho,89,29833,267155000,4288000,49604000,53892000,304245972.37132394,4883332.632846983,56490865.65292487,61374198.28577186,89,8955.016257164885,1806.4559380551739,7148.560319109712,10198.302965552373,2057.258682860318,8141.044282692055,1
fy21,Iowa,278,62686,883304000,3318000,31895000,35213000,1005939190.2808471,3778660.8385695643,36323202.96750341,40101863.80607298,278,14090.92939412309,561.7362728519925,13529.193121271097,16047.270367878746,639.7259963320834,15407.544371546663,1
fy21,Maine,131,19231,311616000,2695000,25671000,28366000,354879799.84077555,3069165.4490491184,29235082.093706846,32304247.54275597,131,16203.837553949352,1475.014299828402,14728.823254120949,18453.528149382535,1679.800714614735,16773.7274347678,1
fy21,Maryland,24,100117,1552352000,415153000,193814000,608967000,1767875741.4331346,472791556.09242624,220722535.19183898,693514091.284265,24,15505.378706912912,6082.553412507366,9422.825294405546,17658.097440326164,6927.036280394589,10731.061159931574,1
fy21,Mississippi,135,62085,471698000,4234000,115992000,120226000,537187088.6773921,4821835.4401758695,132095969.8575531,136917805.29772887,134,7597.616171377949,1936.4741886123863,5661.141982765563,8652.445658007444,2205.3282644395404,6447.1173935679035,0.9925925925925926
fy21,Missouri,415,99441,1140544000,182195000,148592000,330787000,1298893594.775614,207490389.23543772,169222052.840485,376712442.0759223,389,11469.554811395701,3326.464939009061,8143.08987238664,13061.95226089454,3788.3010234804788,9273.651237414062,0.9373493975903614
fy21,Montana,211,16075,151960000,35917000,24142000,60059000,173057655.52412027,40903604.98460008,27493800.471593264,68397405.4561933,201,9453.188180404355,3736.1741835147745,5717.01399688958,10765.639534937498,4254.893029934265,6510.746505003233,0.95260663507109
fy21,Nebraska,182,45697,566207000,212573000,59163000,271736000,644817425.3839533,242085976.62364325,67377007.59261332,309462984.2162565,33,12390.463268923562,5946.47351029608,6443.989758627482,14110.716795062111,6772.063466228778,7338.653328833333,0.1813186813186813
fy21,Nevada,14,52904,676061000,209325000,81915000,291240000,769923214.3412232,238387034.36816582,93287824.7713761,331674859.1395419,7,12779.014819295327,5505.065779525177,7273.94903977015,14553.213638689385,6269.372053900309,8283.841584789076,0.5
