dist_id,state,schlev,agchrt,district,current_sped_exp_fy20_adjusted,state_sped_rev_fy20_adjusted,federal_sped_rev_fy20_adjusted,state_fed_sped_rev_fy20_adjusted,sped_enroll_fy20,current_sped_exp_fy23,state_sped_rev_fy23,federal_sped_rev_fy23,state_fed_sped_rev_fy23,sped_enroll_fy23,state_sped_pp_funding_fy20,federal_sped_pp_funding_fy20,state_fed_sped_pp_funding_fy20,total_sped_pp_expenditure_fy20,state_sped_pp_funding_fy23,federal_sped_pp_funding_fy23,state_fed_sped_pp_funding_fy23,total_sped_pp_expenditure_fy23,local_sped_pp_obligation_fy20,local_sped_pp_obligation_fy23,local_sped_pp_obligation_diff
0100450,Alabama,3,3,Brewton City,827184.79,0,304077.789,304077.789,132,979000,0,289000,289000,128,0,2303.6196136363637,2303.6196136363637,6266.551439393939,0,2257.8125,2257.8125,7648.4375,3962.9318257575756,5390.625,1427.6931742424244
0100510,Alabama,3,3,Butler County,3001166.224,0,1134757.726,1134757.726,348,2969000,0,828000,828000,346,0,3260.798063218391,3260.798063218391,8624.040873563219,0,2393.063583815029,2393.063583815029,8580.92485549133,5363.242810344828,6187.861271676302,824.6184613314736
0100540,Alabama,3,3,Calhoun County,10401557.472,0,2720389.415,2720389.415,1225,9359000,0,2159000,2159000,1232,0,2220.7260530612243,2220.7260530612243,8491.067324081632,0,1752.435064935065,1752.435064935065,7596.590909090909,6270.341271020408,5844.1558441558445,-426.18542686456385
0100600,Alabama,3,3,Chambers County,4936312.613,0,989126.601,989126.601,622,4633000,0,872000,872000,507,0,1590.235692926045,1590.235692926045,7936.193911575562,0,1719.921104536489,1719.921104536489,9138.067061143984,6345.958218649517,7418.145956607495,1072.1877379579773
0100630,Alabama,3,3,Cherokee County,4264079.34,0,1191845.127,1191845.127,518,4472000,0,1015000,1015000,499,0,2300.8593185328186,2300.8593185328186,8231.813397683398,0,2034.0681362725452,2034.0681362725452,8961.92384769539,5930.954079150579,6927.855711422845,996.9016322722664
0100660,Alabama,3,3,Chilton County,6867963.855,0,2113398.886,2113398.886,850,7430000,0,2080000,2080000,911,0,2486.3516305882354,2486.3516305882354,8079.9574764705885,0,2283.205268935236,2283.205268935236,8155.872667398463,5593.605845882354,5872.667398463227,279.06155258087347
0100690,Alabama,3,3,Choctaw County,1522719.043,0,482330.286,482330.286,161,1382000,0,360000,360000,129,0,2995.840285714286,2995.840285714286,9457.882254658385,0,2790.6976744186045,2790.6976744186045,10713.178294573643,6462.041968944099,7922.480620155038,1460.4386512109395
0100720,Alabama,3,3,Clarke County,2578253.437,0,813204.202,813204.202,290,2889000,0,705000,705000,292,0,2804.152420689655,2804.152420689655,8890.529093103449,0,2414.3835616438355,2414.3835616438355,9893.835616438357,6086.376672413793,7479.452054794521,1393.0753823807281
0100750,Alabama,3,3,Clay County,2344078.588,15145.637,569708.961,584854.598,222,2175000,0,500000,500000,209,68.2235900900901,2566.256581081081,2634.480171171171,10558.912558558559,0,2392.3444976076553,2392.3444976076553,10406.698564593302,7924.432387387387,8014.354066985647,89.92167959825929
0100810,Alabama,3,3,Coffee County,2550292.261,0,561553.618,561553.618,273,3120000,0,814000,814000,332,0,2056.97295970696,2056.97295970696,9341.729893772894,0,2451.8072289156626,2451.8072289156626,9397.590361445784,7284.756934065934,6945.783132530121,-338.9738015358125
